epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,634.929,0.69271,1.19193,0.92775,0.83146,0.83333,0.87845,0.60267,1.22183,1.77973,1.22482,0.000608468,0.000608468,0.000608468
60,644.308,0.67583,1.06565,0.93205,0.88327,0.89521,0.89512,0.6235,1.22651,1.66434,1.21263,0.000594321,0.000594321,0.000594321
61,653.577,0.70012,1.13174,0.93539,0.88327,0.89521,0.89512,0.6235,1.22651,1.66434,1.21263,0.000580174,0.000580174,0.000580174
62,662.81,0.6732,1.0978,0.98539,0.88764,0.91667,0.89512,0.59511,1.29517,1.58605,1.24389,0.000566027,0.000566027,0.000566027
63,672.248,0.64653,1.10087,0.90414,0.98388,0.90191,0.91179,0.59086,1.36483,1.5963,1.30012,0.00055188,0.00055188,0.00055188
64,681.647,0.68225,1.03743,0.91135,0.98051,0.90473,0.91179,0.595,1.36718,1.62278,1.30233,0.000537733,0.000537733,0.000537733
65,690.822,0.71042,1.05583,0.92621,0.98051,0.90473,0.91179,0.595,1.36718,1.62278,1.30233,0.000523586,0.000523586,0.000523586
66,700.103,0.69849,1.08668,0.9562,0.96891,0.91056,0.91205,0.61987,1.2844,1.64874,1.25683,0.000509438,0.000509438,0.000509438
67,709.48,0.63517,1.07271,0.87574,0.95631,0.89842,0.91245,0.64432,1.21574,1.5736,1.22347,0.000495291,0.000495291,0.000495291
68,718.878,0.65427,1.07543,0.88839,0.96069,0.88104,0.91274,0.69208,1.16177,1.54907,1.20405,0.000481144,0.000481144,0.000481144
69,728.225,0.62655,1.00713,0.95709,0.96069,0.88104,0.91274,0.69208,1.16177,1.54907,1.20405,0.000466997,0.000466997,0.000466997
70,737.463,0.58483,0.98084,0.86949,0.96884,0.87374,0.91287,0.6892,1.15244,1.57193,1.20053,0.00045285,0.00045285,0.00045285
71,746.979,0.71227,1.14241,0.93904,0.97173,0.86869,0.91262,0.63954,1.19888,1.56453,1.20944,0.000438703,0.000438703,0.000438703
72,756.368,0.58025,1.00517,0.89602,0.97285,0.85992,0.91221,0.62748,1.22454,1.57723,1.22084,0.000424556,0.000424556,0.000424556
73,765.695,0.6675,1.09187,0.91326,0.97285,0.85992,0.91221,0.62748,1.22454,1.57723,1.22084,0.000410409,0.000410409,0.000410409
74,774.927,0.61803,0.95194,0.88262,0.96943,0.83333,0.87038,0.58227,1.22043,1.60013,1.22386,0.000396262,0.000396262,0.000396262
75,784.506,0.61517,1.02577,0.89667,0.96878,0.82584,0.84961,0.56775,1.18621,1.60292,1.21678,0.000382115,0.000382115,0.000382115
76,793.897,0.62357,1.01814,0.91086,0.96896,0.82724,0.8319,0.56787,1.14735,1.57041,1.19629,0.000367967,0.000367967,0.000367967
77,803.259,0.6066,1.11711,0.91351,0.96896,0.82724,0.8319,0.56787,1.14735,1.57041,1.19629,0.00035382,0.00035382,0.00035382
78,812.585,0.61342,1.01212,0.95944,0.97109,0.8205,0.829,0.56909,1.13555,1.59267,1.19276,0.000339673,0.000339673,0.000339673
79,822.083,0.55444,0.93847,0.90048,0.97536,0.81952,0.82907,0.58569,1.13631,1.66706,1.19422,0.000325526,0.000325526,0.000325526
80,831.527,0.61701,0.97576,0.89801,0.9766,0.82119,0.83236,0.58596,1.15282,1.68845,1.20658,0.000311379,0.000311379,0.000311379
81,840.972,0.60239,0.93282,0.91705,0.9766,0.82119,0.83236,0.58596,1.15282,1.68845,1.20658,0.000297232,0.000297232,0.000297232
82,850.294,0.57133,0.95343,0.87058,0.98204,0.8164,0.84408,0.5782,1.19939,1.71677,1.22856,0.000283085,0.000283085,0.000283085
83,859.933,0.55303,0.94314,0.89207,0.98866,0.81056,0.86417,0.59057,1.19879,1.70554,1.23414,0.000268938,0.000268938,0.000268938
84,869.475,0.59271,0.94449,0.90949,0.98087,0.80809,0.89095,0.61041,1.18086,1.62977,1.23415,0.000254791,0.000254791,0.000254791
85,878.865,0.53116,0.91365,0.88811,0.98087,0.80809,0.89095,0.61041,1.18086,1.62977,1.23415,0.000240644,0.000240644,0.000240644
86,888.247,0.53495,0.91748,0.86414,0.9748,0.80783,0.89095,0.60897,1.15383,1.62554,1.21197,0.000226497,0.000226497,0.000226497
87,897.868,0.59654,0.92072,0.91005,0.87716,0.87771,0.91179,0.64901,1.12373,1.62342,1.18187,0.000212349,0.000212349,0.000212349
88,907.342,0.58233,0.95093,0.88362,0.87654,0.88462,0.91179,0.65196,1.1314,1.62593,1.17837,0.000198202,0.000198202,0.000198202
89,916.779,0.49356,0.90124,0.88895,0.87654,0.88462,0.91179,0.65196,1.1314,1.62593,1.17837,0.000184055,0.000184055,0.000184055
90,926.21,0.52133,0.91676,0.86549,0.87543,0.88939,0.91179,0.66885,1.14091,1.62847,1.17946,0.000169908,0.000169908,0.000169908
91,935.896,0.5594,1.37121,0.81506,0.87596,0.8912,0.91179,0.6561,1.1559,1.623,1.19721,0.000155761,0.000155761,0.000155761
92,945.202,0.47924,1.20757,0.8105,0.95691,0.81395,0.87845,0.61473,1.17394,1.63832,1.211,0.000141614,0.000141614,0.000141614
93,954.51,0.48085,1.20609,0.82898,0.95691,0.81395,0.87845,0.61473,1.17394,1.63832,1.211,0.000127467,0.000127467,0.000127467
94,963.961,0.48162,1.2117,0.81328,0.95159,0.82148,0.87845,0.62487,1.18637,1.62621,1.22475,0.00011332,0.00011332,0.00011332
95,973.4,0.49143,1.19364,0.85554,0.9484,0.82834,0.86417,0.61303,1.19063,1.62715,1.22927,9.91726e-05,9.91726e-05,9.91726e-05
96,982.831,0.47442,1.15626,0.81133,0.95194,0.82887,0.86417,0.60918,1.19281,1.63138,1.23176,8.50255e-05,8.50255e-05,8.50255e-05
97,992.387,0.45339,1.15153,0.81149,0.95194,0.82887,0.86417,0.60918,1.19281,1.63138,1.23176,7.08784e-05,7.08784e-05,7.08784e-05
98,1002.04,0.45223,1.1459,0.83043,0.93277,0.81919,0.86417,0.60637,1.1919,1.64431,1.22405,5.67313e-05,5.67313e-05,5.67313e-05
99,1011.83,0.45197,1.14424,0.8251,0.92244,0.81427,0.86417,0.60628,1.19275,1.63255,1.21837,4.25842e-05,4.25842e-05,4.25842e-05
100,1021.37,0.40428,1.15581,0.77096,0.90824,0.81257,0.86417,0.62274,1.18449,1.61534,1.20731,2.84371e-05,2.84371e-05,2.84371e-05
